
*                 FILE                 DATE               TARGET                 FOIL         PRESSURE_MAX         PRESSURE_MIN         PRESSURE_AVE         PRESSURE_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
                  4302           2020-02-26                    1                    2                  1.8                  1.7        1.70132605304      0.0114388324379
                  4305           2020-02-27                    1                    2                  1.8                  1.7        1.70705317578      0.0256041068782
                  4306           2020-02-27                    1                    3                  1.8                  1.7        1.70161290323      0.0125971768966
                  4307           2020-02-27                    1                    3                  1.8                  1.7        1.70108499096      0.0103596279113
                  4309           2020-02-28                    1                    3                  1.8                  1.7        1.70068467098      0.0082461095923
                  4310           2020-02-28                    1                    3                  1.8                  1.7        1.70024595924     0.00495332495964
                  4311           2020-02-28                    1                    3                  1.8                  1.6        1.70052234475     0.00867046439533
                  4313           2020-03-02                    1                    3                  1.8                  1.7        1.70035536603     0.00595065691228
                  4314           2020-03-02                    1                    3                  1.8                  1.7        1.70076045627     0.00868719365688
                  4315           2020-03-02                    1                    3                  1.8                  1.7        1.70013780432     0.00370964172891
                  4317           2020-03-03                    1                    3                  1.8                  1.6        1.70032188841     0.00626404860091
                  4318           2020-03-03                    1                    3                  1.8                  1.7        1.70046511628     0.00680406457597
                  4319           2020-03-03                    1                    4                  1.8                  1.7        1.70015319801     0.00391105244312
                  4320           2020-03-04                    1                    4                  1.8                  1.7        1.72226415094      0.0416019552078
                  4321           2020-03-04                    1                    4                  1.8                  1.7        1.70053514092     0.00729573274178
                  4322           2020-03-04                    1                    4                  1.8                  1.7        1.70202135774      0.0140730198286
                  4323           2020-03-04                    1                    4                  1.8                  1.6        1.70092735703      0.0103600995517
                  4325           2020-03-05                    1                    4                  1.8                  1.6        1.70051911279     0.00781538323845
                  4326           2020-03-05                    1                    4                  1.7                  1.6        1.69988425926     0.00340009972721
                  4327           2020-03-05                    1                    4                  1.8                  1.7        1.70017064846     0.00412743570732
                  4329           2020-03-06                    1                    4                  1.8                  1.6        1.70025150905     0.00592857578186
                  4330           2020-03-06                    1                    4                  1.8                  1.7        1.70038804812     0.00621725264524
                  4331           2020-03-06                    1                    4                  1.8                  1.6        1.70060137457     0.00877256725565
                  4332           2020-03-06                    1                    4                  1.7                  1.7                  1.7    2.84603070277e-14
                  4333           2020-03-08                    1                    1                    2                  1.8        1.88618421053      0.0363631936985
                  4335           2020-03-09                    1                    1                  1.8                  1.7        1.70745461568      0.0262657623763
                  4336           2020-03-09                    1                    1                  1.8                  1.7        1.70066536204     0.00812979070361
                  4337           2020-03-09                    1                    1                  1.8                  1.7        1.70028901734        0.00536825885
                  4339           2020-03-10                    1                    1                  1.8                  1.7        1.70024009604     0.00489407373605
                  4340           2020-03-10                    1                    1                  1.8                  1.7        1.70307692308       0.017269187939
                  4343           2020-03-11                    1                    1                  1.8                  1.7        1.70646067416      0.0245830654143
                  4344           2020-03-11                    1                    1                  1.8                  1.7        1.71668662675      0.0372856428465
                  4345           2020-03-11                    1                    1                  1.8                  1.7        1.72372495446      0.0425396518793
                  4347           2020-03-12                    1                    1                  1.8                  1.7         1.7006006006     0.00772653473289
                  4348           2020-03-12                    1                    2                  1.8                  1.7        1.70314606742      0.0174559159424
                  4349           2020-03-12                    1                    2                  1.8                  1.6        1.70893585465      0.0287848442931
                  4351           2020-03-13                    1                    2                  1.8                  1.6        1.70109329446      0.0107434995706
                  4352           2020-03-13                    1                    2                  1.8                  1.7        1.70127531883      0.0112207595489
                  4353           2020-03-13                    1                    2                  1.8                  1.7         1.7001156738     0.00339911746788
                  4354           2020-03-13                    1                    2                  1.8                  1.7        1.70088832487     0.00938314266275
                  4356           2020-03-16                    1                    2                  1.8                  1.7        1.70921194674      0.0289194521307
                  4357           2020-03-16                    1                    2                  1.8                  1.7        1.70297369424      0.0169860697888
                  4358           2020-03-16                    1                    2                  1.8                  1.7        1.70111111111      0.0104822012578
                  4361           2020-03-17                    1                    2                  1.8                  1.7        1.70346117867      0.0182794449962
                  4362           2020-03-17                    1                    2                  1.8                  1.7        1.70092764378     0.00958664985734
                  4363           2020-03-17                    1                    2                  1.8                  1.6        1.70648006135      0.0247726391717
                  4364           2020-03-17                    1                    3                  1.8                  1.7        1.70418660287      0.0200282960704
                  4365           2020-03-18                    1                    3                  1.7                  1.7                  1.7    4.40457132572e-15
                  4366           2020-03-18                    1                    3                  1.8                  1.7        1.70010660981      0.0032633748113
                  4367           2020-03-18                    1                    3                  1.8                  1.6        1.70009049774     0.00425339366516
                  4368           2020-03-18                    4                    1                  1.8                  1.7        1.70103822558      0.0101363033429
                  4370           2020-03-19                    1                    3                  1.7                  1.7                  1.7     7.5894152074e-14
                  4371           2020-03-19                    1                    3                  1.8                  1.7        1.70004446421     0.00210818489838
                  4372           2020-03-19                    1                    3                  1.8                  1.7        1.70094745909     0.00968752961172
                  4374           2020-03-20                    1                    3                  1.8                  1.6        1.70007473842     0.00546715468845
                  4375           2020-03-20                    1                    3                  1.7                  1.7                  1.7    2.81214938488e-14
                  4376           2020-03-20                    1                    3                  1.7                  1.7                  1.7    5.42101086243e-15
                  4377           2020-03-20                    1                    3                  1.8                  1.7        1.70050188206     0.00706656353341
                  4378           2020-03-21                    1                    1                    2                  1.9        1.95384615385      0.0498518515262
                  4380           2020-03-22                    1                    1                  1.9                  1.8        1.89172413793      0.0275517025592
                  4382           2020-03-23                    1                    1                  1.9                  1.7        1.81677304965      0.0384847522158
                  4383           2020-03-23                    1                    1                  1.8                  1.7        1.72781531532      0.0448089250646
                  4384           2020-03-23                    4                    1                  1.8                  1.7        1.72174858634      0.0412535771336
                  4386           2020-03-24                    1                    1                  1.8                  1.7        1.70147535085       0.012056468158
                  4387           2020-03-24                    1                    1                  1.8                  1.7        1.70644227289      0.0245504462111
                  4389           2020-03-25                    1                    1                  1.8                  1.7        1.70679056469      0.0251583922402
                  4390           2020-03-25                    1                    1                  1.8                  1.7        1.70922140061      0.0289327812646
                  4394           2020-03-26                    4                    1                  1.8                  1.7        1.70693069307      0.0253975353235
                  4395           2020-03-26                    4                    1                  1.8                  1.6        1.70032074127     0.00625290617702
                  4396           2020-03-26                    4                    1                  1.8                  1.7        1.70053357048     0.00728507722156
                  4398           2020-03-27                    4                    1                  1.8                  1.7          1.708709794      0.0281978525519
                  4399           2020-03-27                    4                    1                  1.8                  1.7        1.70245937637      0.0154883538538
                  4404           2020-03-30                    4                    1                  1.8                  1.7        1.70128404669      0.0112585919791
                  4405           2020-03-30                    4                    1                  1.8                  1.7        1.71060240964      0.0307868457902
                  4407           2020-03-31                    4                    1                  1.8                  1.7        1.70483297797      0.0214462146007
                  4408           2020-03-31                    4                    1                  1.8                  1.7        1.70349865436      0.0183745708525
                  4409           2020-03-31                    4                    2                  1.7                  1.7                  1.7    3.38813178902e-16
                  4411           2020-04-01                    4                    2                  1.8                  1.6        1.70186948854      0.0138024831081
                  4412           2020-04-01                    4                    2                  1.8                  1.7        1.70637329287      0.0244276569654
                  4413           2020-04-01                    4                    2                  1.8                  1.7        1.76406685237      0.0479804508573
                  4415           2020-04-02                    4                    2                  1.8                  1.7        1.70362794288      0.0186984576472
                  4416           2020-04-02                    4                    2                  1.8                  1.7        1.70514469453      0.0220907576043
                  4417           2020-04-02                    4                    2                  1.8                  1.7          1.701291364      0.0112902072317
                  4419           2020-04-03                    4                    2                  1.8                  1.7        1.70357142857       0.018557687224
                  4420           2020-04-03                    4                    2                  1.8                  1.7        1.70985481742      0.0298054410431
                  4422           2020-04-06                    1                    1                  1.8                  1.7        1.71883711669      0.0391008274029
                  4424           2020-04-06                    4                    2                  1.8                  1.7        1.75933048433      0.0491217066291
                  4427           2020-04-07                    1                    3                  1.8                  1.7        1.70023538643     0.00484595045738
                  4428           2020-04-07                    1                    3                  1.8                  1.7        1.70055309735     0.00741645588135
                  4429           2020-04-07                    1                    3                  1.8                  1.7        1.70077386071     0.00876283117014
                  4440           2020-04-10                    1                    1                  1.8                  1.7        1.78200371058      0.0384156544839
                  4442           2020-04-14                    1                    1                  1.8                  1.7        1.76274089936        0.04834945174
                  4443           2020-04-14                    1                    1                  1.8                  1.7        1.70241492865      0.0153512535188
                  4446           2020-04-15                    1                    1                  1.8                  1.7        1.70053705693     0.00730871142264
                  4447           2020-04-15                    1                    1                  1.8                  1.7        1.71305758313      0.0336935874588
                  4448           2020-04-15                    1                    1                  1.8                  1.7        1.73862472568      0.0486888399335
                  4450           2020-04-16                    1                    1                  1.8                  1.7        1.71387541962       0.034568984543
                  4451           2020-04-16                    1                    1                  1.8                  1.7         1.7132938856      0.0339508639915
                  4452           2020-04-16                    1                    1                  1.8                  1.6        1.73197183099       0.046737295529
                  4454           2020-04-17                    1                    1                  1.8                  1.7        1.70645770393      0.0245778040666
                  4455           2020-04-17                    1                    1                  1.8                  1.7        1.70836852207      0.0276915157694
                  4456           2020-04-17                    1                    2                  1.8                  1.7        1.71515345269       0.035856912029
                  4458           2020-04-20                    4                    1                  1.8                  1.7        1.71041740992      0.0305486261949
                  4459           2020-04-20                    4                    1                  1.8                  1.6        1.70119581465      0.0112082707744
                  4460           2020-04-20                    4                    1                  1.8                  1.7         1.7015136226       0.012209472018
                  4462           2020-04-21                    4                    1                  1.8                  1.7        1.70021111893     0.00458991523128
                  4463           2020-04-21                    4                    1                  1.8                  1.6        1.70033834586     0.00887878879673
                  4465           2020-04-22                    4                    1                  1.8                  1.7        1.70235131397      0.0151526472794
                  4466           2020-04-22                    4                    1                  1.8                  1.7         1.7014953271      0.0121365854809
                  4468           2020-04-23                    4                    1                  1.8                  1.7        1.70113293051      0.0105834550035
                  4469           2020-04-23                    4                    1                  1.8                  1.7        1.70197793838      0.0139241372346
                  4471           2020-04-24                    4                    1                  1.8                  1.7        1.72033898305      0.0402520070747
                  4472           2020-04-24                    4                    2                  1.8                  1.7        1.70259287926      0.0158922906736
                  4474           2020-04-27                    1                    2                  1.8                  1.7        1.70057081698      0.0075336489269
                  4475           2020-04-27                    1                    2                  1.7                  1.6        1.69976076555     0.00488530570734
                  4476           2020-04-27                    1                    2                  1.8                  1.7        1.70028340081     0.00531599143648
                  4478           2020-04-28                    1                    2                  1.8                  1.7        1.70023997257     0.00489281826964
                  4479           2020-04-28                    1                    2                  1.8                  1.6        1.69939163498      0.0106629420456
                  4480           2020-04-28                    1                    2                  1.8                  1.6        1.69930769231      0.0114144619159
                  4482           2020-04-29                    1                    2                  1.8                  1.6        1.69948096886      0.0118995427973
                  4483           2020-04-29                    1                    2                  1.8                  1.6                  1.7     0.00778941650449
                  4484           2020-04-29                    1                    2                  1.8                  1.7        1.70060565276     0.00775876669606
                  4490           2020-05-04                    4                    2                  1.8                  1.7        1.70027894003     0.00527410610912
                  4491           2020-05-04                    4                    2                  1.7                  1.6        1.69957248348     0.00652448322823
                  4494           2020-05-05                    4                    2                  1.8                  1.6        1.69979079498     0.00834812794779
                  4495           2020-05-05                    4                    2                  1.8                  1.6        1.69935606061     0.00889554925805
                  4496           2020-05-05                    4                    2                  1.7                  1.6        1.69990680336     0.00305138966333
                  4498           2020-05-06                    4                    2                  1.8                  1.6        1.69798611111      0.0181460074087
                  4499           2020-05-06                    4                    2                  1.8                  1.6        1.69750929368      0.0169551372577
                  4500           2020-05-06                    4                    3                  1.8                  1.6        1.69464767039      0.0236747520502
                  4502           2020-05-07                    4                    3                  1.8                  1.6        1.69982554082     0.00723237975783
                  4503           2020-05-07                    4                    3                  1.8                  1.6         1.6972179289      0.0169092619794
                  4506           2020-05-11                    4                    3                  1.8                  1.6        1.70014114326      0.0053111891947
                  4507           2020-05-11                    4                    3                  1.8                  1.6        1.69985035541     0.00986136870081
                  4508           2020-05-11                    4                    3                  1.8                  1.6        1.70061842919      0.0116478310043
                  4510           2020-05-12                    4                    3                  1.8                  1.7        1.70045903955     0.00675967732186
                  4511           2020-05-12                    4                    3                  1.7                  1.6        1.69981522543     0.00429456818065
                  4512           2020-05-12                    4                    4                  1.8                  1.7        1.70071364853     0.00841757438864
                  4514           2020-05-13                    1                    3                  1.8                  1.6        1.70049610206     0.00881548507751
                  4515           2020-05-13                    1                    3                  1.7                  1.6         1.6995151063     0.00694652774711
                  4516           2020-05-13                    1                    3                  1.8                  1.6         1.6999498998     0.00671473531352
                  4522           2020-05-15                    1                    3                  1.8                  1.7         1.7002245509      0.0047333568125
                  4523           2020-05-15                    1                    4                  1.8                  1.6        1.70030959752     0.00680762644808
                  4524           2020-05-15                    1                    4                  1.8                  1.7        1.70036057692     0.00599397001913
                  4526           2020-05-18                    4                    4                  1.9                  1.7        1.80943102104      0.0439290564377
                  4527           2020-05-18                    4                    4                  1.8                  1.7        1.78112082671      0.0391343090516
                  4528           2020-05-18                    4                    4                  1.8                  1.7        1.75536626917      0.0497111974835
                  4530           2020-05-19                    1                    4                  1.8                  1.7        1.70199157411      0.0139710788245
                  4531           2020-05-19                    1                    4                  1.8                  1.7        1.70087824351     0.00933022184245
                  4532           2020-05-19                    1                    4                  1.8                  1.7        1.70160565189      0.0125692908098
                  4534           2020-05-20                    1                    4                  1.8                  1.7        1.70112665113      0.0105544194489
                  4535           2020-05-20                    1                    4                  1.8                  1.6        1.70013163668     0.00468210624716
                  4536           2020-05-20                    1                    4                  1.8                  1.6        1.70364238411      0.0217977896598
                  4538           2020-05-22                    1                    4                  1.8                  1.7        1.70007451565     0.00272873821514
                  4539           2020-05-22                    1                    5                  1.8                  1.6        1.70065259117     0.00977463117417
                  4540           2020-05-22                    1                    5                  1.8                  1.7         1.7030651341      0.0172371216539
                  4544           2020-06-02                    1                    1                  1.8                  1.5        1.63468372424      0.0550727002703
                  4545           2020-06-02                    1                    1                  1.7                  1.6        1.69858400306      0.0118150178379
                  4546           2020-06-02                    1                    1                  1.7                  1.7                  1.7    4.40457132572e-15
                  4548           2020-06-03                    4                    1                  1.9                  1.7        1.71045406547      0.0341823291796
                  4549           2020-06-03                    4                    1                  1.7                  1.6        1.69900839054     0.00990846388321
                  4550           2020-06-03                    4                    1                  1.7                  1.7                  1.7    2.57498015965e-14
                  4552           2020-06-04                    4                    1                  1.8                  1.7        1.70028237192      0.0053063601944
                  4553           2020-06-04                    4                    1                  1.7                  1.6        1.69774494557       0.014846554238
                  4554           2020-06-04                    4                    1                  1.7                  1.6        1.69709279172      0.0168008621312
                  4556           2020-06-05                    4                    1                  1.7                  1.6        1.69882720876      0.0107658573749
                  4557           2020-06-05                    4                    1                  1.7                  1.6        1.69198094482      0.0271587973238
                  4558           2020-06-05                    4                    1                  1.7                  1.6        1.69188704617      0.0273033947221
                  4560           2020-06-08                    1                    1                  1.8                  1.6        1.67661089356      0.0424143880735
                  4561           2020-06-08                    1                    1                  1.7                  1.6        1.64202349375      0.0493596530377
                  4562           2020-06-08                    1                    1                  1.7                  1.6        1.62381311228      0.0425939774113
                  4569           2020-06-10                    1                    2                  1.8                  1.6        1.68642149929      0.0344618435496
                  4570           2020-06-10                    1                    2                  1.7                  1.6        1.68279808047       0.037739712735
                  4571           2020-06-10                    1                    2                  1.7                  1.5        1.52258320127       0.062858346798
                  4573           2020-06-11                    1                    2                  1.7                  1.7                  1.7    6.60685698858e-14
                  4574           2020-06-11                    1                    2                  1.7                  1.7                  1.7    3.76082628581e-14
                  4575           2020-06-11                    1                    2                  1.8                  1.6        1.69852813853      0.0173454295663
                  4577           2020-06-12                    1                    2                  1.8                  1.7        1.70059904153     0.00771656028265
                  4578           2020-06-12                    1                    2                  1.7                  1.7                  1.7    6.57297567069e-14
                  4579           2020-06-12                    1                    2                  1.8                  1.6        1.69927200529      0.0123161316367
                  4581           2020-06-15                    4                    2                  1.8                  1.6        1.69788918206      0.0174536100392
                  4582           2020-06-15                    4                    2                  1.8                  1.6        1.69398006135      0.0242643841596
                  4583           2020-06-15                    4                    2                  1.8                  1.6        1.69586410635      0.0211120955313
                  4585           2020-06-16                    4                    2                  1.7                  1.5        1.69225538345      0.0271505016459
                  4586           2020-06-16                    4                    2                  1.8                  1.6               1.6904      0.0299719233697
                  4587           2020-06-16                    4                    2                  1.8                  1.6         1.6959486166       0.020694209919
                  4588           2020-06-16                    4                    2                  1.7                  1.6        1.69863013699      0.0116236731154
                  4591           2020-06-17                    4                    2                  2.3                  1.5        1.61567857143      0.0502199117962
                  4592           2020-06-17                    4                    2                  1.8                  1.6        1.69934539854      0.0128509595421
                  4594           2020-06-18                    4                    3                  1.7                  1.6        1.69980449658     0.00441725260125
                  4595           2020-06-18                    4                    3                  1.8                  1.6        1.69850806452       0.014542482798
                  4597           2020-06-19                    4                    3                  1.8                  1.6        1.70003988831      0.0066238623868
