
*                 FILE                 DATE               TARGET                 FOIL   COLL_CURRENT_L_MAX   COLL_CURRENT_L_MIN   COLL_CURRENT_L_AVE   COLL_CURRENT_L_STD   COLL_CURRENT_R_MAX   COLL_CURRENT_R_MIN   COLL_CURRENT_R_AVE   COLL_CURRENT_R_STD RELATIVE_COLL_CURRENT_L_MAX RELATIVE_COLL_CURRENT_L_MIN RELATIVE_COLL_CURRENT_L_AVE RELATIVE_COLL_CURRENT_L_STD RELATIVE_COLL_CURRENT_R_MAX RELATIVE_COLL_CURRENT_R_MIN RELATIVE_COLL_CURRENT_R_AVE RELATIVE_COLL_CURRENT_R_STD   TARGET_CURRENT_MAX   TARGET_CURRENT_MIN   TARGET_CURRENT_AVE   TARGET_CURRENT_STD     FOIL_CURRENT_MAX     FOIL_CURRENT_MIN     FOIL_CURRENT_AVE     FOIL_CURRENT_STD RELATIVE_TARGET_CURRENT_MAX RELATIVE_TARGET_CURRENT_MIN RELATIVE_TARGET_CURRENT_AVE RELATIVE_TARGET_CURRENT_STD EXTRACTION_LOSSES_MAX EXTRACTION_LOSSES_MIN EXTRACTION_LOSSES_AVE EXTRACTION_LOSSES_STD RELATIVE_COLL_CURRENT_MAX RELATIVE_COLL_CURRENT_MIN RELATIVE_COLL_CURRENT_AVE RELATIVE_COLL_CURRENT_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4724           2020-08-05                    1                    2                  6.6                  4.6        5.39151866618       0.481202107444                  6.6                  4.6        5.53722363175       0.448543667773        5.95667870036        4.13669064748        4.86419547027       0.429550077384        5.96745027125        4.15537488708         4.9963932495       0.408890499677                101.8                 98.4        99.9500181225       0.415440263109                112.3                108.8         110.83272925       0.445815203456        91.1818181818        89.1168599465        90.1814544365       0.313405624591       0.900090009001       -1.18505013674     -0.0420431562626       0.306308797573        10.4450499546        9.27927927928        9.86058871976       0.131463311767
                  4729           2020-08-06                    1                    3                  6.4                  4.3        5.14998204668       0.401595784122                    6                  4.2        4.99651705566       0.280264183807        5.78139114724         4.0293040293        4.67862821147       0.353886498038        5.51977920883        3.81471389646        4.54027019106       0.259176210341                101.2                 96.5        99.9466786355       0.416763531358                112.1                106.7        110.056696589       0.540110238305        92.0183486239        89.5067264574        90.8148203086       0.358408224679        1.08597285068       -1.00917431193     -0.0337187110723       0.305635853087        9.95475113122        8.59728506787        9.21889840252       0.205277709035
                  4730           2020-08-06                    1                    3                  5.8                  4.5        5.29317841079       0.282892962867                  6.2                  4.6        5.32117691154       0.272044224634        5.22052205221        4.20475319927          4.788246963       0.246838716173        5.57053009883        4.18943533698         4.8139863295       0.245011847216                101.6                   97        99.9686656672       0.437983166387                112.3                106.2        110.535569715       0.562700716824         91.857273559        89.3177737882        90.4412172763       0.341122172405       0.993676603433      -0.995475113122     -0.0434505688035       0.304985839124         9.9730458221        8.83424408015         9.6022332925       0.190151999449
                  4731           2020-08-06                    1                    3                  4.7                  3.8        4.40102781137       0.165837168869                  4.2                  3.1        3.77007255139       0.331797886584        5.36529680365        4.31818181818        4.99605892126       0.180326954038        4.81651376147        3.50678733032        4.27883080373        0.36285233692                 81.3                 78.5        79.9712817412       0.392651577882                 89.7                 86.4        88.0858524788       0.555160983006        92.3076923077        89.3018018018        90.7900284306       0.510527959082        1.14155251142       -1.26436781609     -0.0649181556117       0.389012182951        9.83050847458        8.55188141391        9.27488972499       0.353332424427
                  4734           2020-08-07                    1                    3                  7.7                  4.3        5.55689410092       0.850331524136                    7                  4.3         5.4394811656       0.487506908632        6.82019486271         3.8703870387        5.00516823211        0.73076256212        6.26678603402        3.86690647482        4.90320694119       0.425934172668                101.3                 98.2        99.9391968728       0.446428846881                114.1                108.2        110.916879886        1.02825889189        92.0620437956        87.9646017699        90.1092353418         0.7914145403        1.15555555556       -1.09090909091     -0.0176105151403       0.305062636533        11.6917626218        8.68372943327         9.9083751733       0.708347257003
                  4735           2020-08-07                    1                    3                  5.6                  4.6        5.30935175345       0.176148740916                  5.8                  4.7        5.13219978746        0.14057097186        5.09090909091        4.21245421245        4.81930529249       0.152263515431        5.30649588289        4.41729323308        4.65892521626       0.134045789764                101.3                 96.5        99.7799149841       0.435256032972                111.6                106.4        110.163549416       0.477573285797        91.5750915751        89.6021699819        90.5748197885       0.296026657743       0.904159132007        -1.0989010989     -0.0530502972377       0.302990033704        10.0090991811        9.24908424908        9.47823050875      0.0691111297756
                  4736           2020-08-07                    1                    3                  6.7                  5.2        6.18637264618       0.281204445949                  5.2                  4.2        4.69925668979       0.189737815341        6.00358422939        4.75319926874        5.58410956535       0.233062123136        4.75754803294        3.80090497738        4.24201747543       0.160126811411                101.5                 98.5        99.9132309217       0.434863667728                112.7                108.5        110.768880079       0.668780552678        91.6360294118        88.7387387387        90.2014654153       0.412575040635        1.17117117117       -1.01102941176     -0.0275924560299       0.290422411131        10.3790613718        9.10746812386        9.82612704078       0.296790091366
                  4737           2020-08-08                    4                    1                  2.8                  2.5             2.604375      0.0769308740039                  3.2                  1.9            2.5265625       0.364966688334        5.06329113924        4.37062937063        4.63401038444       0.155357320697        5.67375886525        3.38680926916        4.49146972288       0.623768232885                 51.7                   50               51.015       0.303047026054                 57.5                 54.7                56.21       0.443734154647        92.6126126126        88.8111888112        90.7615493208       0.667102837357        1.41342756184        -1.0889292196       0.112970571849       0.483027363793        10.1063829787        8.19964349376        9.12548010732       0.500873267667
                  4738           2020-08-08                    4                    1                  6.6                    5               6.0185       0.406149910747                    7                  4.2                5.119        0.68190101921        5.92459605027        4.48028673835        5.41572446815       0.376007679601        6.30630630631         3.7668161435        4.60411656172       0.600206199083                101.2                 97.5             99.86425       0.466258444964                  113                108.1              111.148       0.578269833209        90.7623318386        88.8193202147        89.8489537814       0.359810651675        1.07142857143      -0.545454545455        0.13120518872       0.288217373274        10.9515260323        9.42549371634        10.0198410299        0.27751808553
                  4741           2020-08-10                    4                    1                  6.7                  4.1        5.90782083185       0.466612978955                  7.3                  3.7        5.02431567721       0.664988742472        6.05786618445        3.71040723982        5.31890757168       0.417364380849        6.46017699115        3.34538878843        4.52241837491       0.588974465506                101.6                 96.2        99.9978670459       0.459952238774                  113                107.4        111.070067544       0.644062737803         91.407678245        88.5201793722        90.0330523391       0.455769703282        1.34529147982      -0.819672131148       0.125621714281         0.2971721748        11.0910730388        8.40867992767         9.8413259466       0.382055670416
                  4742           2020-08-10                    4                    1                  7.3                  4.1        6.52690566038       0.496292528776                  8.5                  4.4        5.41645283019       0.512273017054        6.52951699463        3.66726296959        5.82674530139       0.440632177265        7.60286225403         3.9041703638        4.83523271181       0.453906105117                101.6                 98.3        99.9364528302       0.426242315973                113.6                110.3         112.01445283       0.527334506492        90.2173913043        87.5996457042        89.2182006902       0.316204086093        1.32391879965      -0.804289544236       0.119821296652        0.27662971528        11.8689105403        9.98217468806        10.6619780132       0.203682620261
