
*                 FILE                 DATE               TARGET                 FOIL          CURRENT_MAX          CURRENT_MIN          CURRENT_AVE          CURRENT_STD          VOLTAGE_MAX          VOLTAGE_MIN          VOLTAGE_AVE          VOLTAGE_STD                HFLOW            RATIO_MAX            RATIO_MIN            RATIO_AVE            RATIO_STD SOURCE_PERFORMANCE_AVE SOURCE_PERFORMANCE_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4237           2020-02-10                    1                    1                  493                  352        472.322187254         24.027547204                  505                  423        434.207317073        12.6320210537                  4.5        5.35117056856        3.98640996602        4.98826297875       0.177173651592       0.251666666667                    0
                  4238           2020-02-10                    1                    1                  658                  385        513.029111531        31.5977120945                  483                  372        418.451417769        12.5769767027                  4.5        7.03023758099        4.16216216216        5.40759429901       0.327639428694             0.228125                    0
                  4239           2020-02-10                    1                    1                  502                  401        486.292565056        14.7150221817                  474                  420         430.14535316         6.8627047383                  4.5        5.35407725322         4.3025751073        5.11838051283       0.145236682855       0.220895522388                    0
                  4241           2020-02-11                    1                    1                  465                  382        452.508551881        11.2161913558                  486                  437        444.660205245        5.90608829423                  4.5        4.94155154091         4.1252699784        4.76485018182       0.117787900091            0.2296875                    0
                  4242           2020-02-11                    1                    1                  481                  398        469.038111019        13.7946907793                  477                  430        437.642087821        6.75842975656                  4.5        5.11727078891         4.3023255814        4.93972769934       0.135842962106            0.2265625                    0
                  4243           2020-02-11                    1                    1                  459                  393        447.768518519        10.0970046421                  483                  442        448.691358025         5.4685226644                  4.5        4.98910675381        4.43066516347        4.78353320922      0.0968166585138       0.221538461538                    0
                  4244           2020-02-11                    4                    1                  203                  191        198.688118812        2.46495384363                  750                  723        732.707920792        5.33054309956                  4.5        3.50626118068        3.19467554077        3.31746669772      0.0473008448932               0.3825                    0
                  4245           2020-02-11                    4                    1                  384                  307        362.142857143        14.9934069489                  583                  511        528.197044335        12.7372302954                  4.5        3.87878787879        3.19791666667        3.63933189317       0.147212707697       0.252542372881                    0
                  4247           2020-02-12                    1                    1                  424                  309        393.998778502        28.9310859572                  580                  487        509.063925081        20.8724504359                  4.5        4.27419354839        3.13705583756        3.94547393911       0.286085545675       0.260344827586                    0
                  4248           2020-02-12                    1                    1                  436                  305        409.277732463        20.3737895005                  588                  484        501.189641109        13.5952745978                  4.5        4.38950554995        3.24813631523        4.09761797492       0.198010448278            0.2296875                    0
                  4250           2020-02-12                    4                    1                  465                  350        430.751805397        23.3159265766                  552                  467        490.356898518        14.1552164556                  4.5        4.68559837728        3.56415478615        4.30896983003       0.230125027933       0.194936708861                    0
                  4251           2020-02-12                    1                    1                  439                  358        418.090551181          15.70055886                  541                  484        497.606299213         9.8383849583                  4.5        4.41414141414        3.71369294606        4.19719050323       0.149542252348       0.224615384615                    0
                  4253           2020-02-13                    1                    1                  530                  319        447.066815145        43.1930198195                  572                  436        479.286562732        25.6310610271                  4.5        5.34274193548        3.28865979381         4.4714390177       0.423877947689       0.229230769231                    0
                  4254           2020-02-13                    1                    1                  618                  373        537.579731744        49.8941873565                  527                  405        436.378539493        22.0576014307                  4.5        6.26139817629        3.77912867275        5.39013569342       0.497379735502       0.219402985075                    0
                  4258           2020-02-13                    1                    3                  520                  382         479.35873749        18.1894238812                  521                  443        461.757505774        9.13151764846                  4.5        5.29531568228        4.12081984898        4.79922312239       0.174116168381       0.219696969697                    0
                  4260           2020-02-14                    1                    3                  537                  344        444.067669173        41.3026962088                  550                  433        479.563909774        23.4821491579                  4.5        5.40785498489        3.53545734841        4.46823849938       0.416638436448       0.243548387097                    0
                  4261           2020-02-14                    1                    3                  471                  336        436.539292731         20.616122029                  556                  464        483.884577603        12.0968560866                  4.5         5.2466367713        3.88888888889        4.82907369561       0.249801396124       0.181609195402                    0
                  4262           2020-02-14                    1                    3                  465                  326        417.915345961        23.5359109342                  568                  467        496.313103981        14.9661179735                  4.5        5.21934758155        3.73853211009        4.65698833387       0.261738439865       0.221212121212                    0
                  4263           2020-02-14                    1                    3                  450                  351        431.475167144        16.8009046109                  543                  476        488.460840497        10.4016816132                  4.5        5.03972758229        3.98863636364        4.79993816694        0.18271482369       0.205633802817                    0
                  4264           2020-02-14                    4                    1                  547                  390        508.243290548        24.0278128885                  518                  430        449.477829638         11.406298735                  4.5        5.51967709384        4.07523510972         5.0881590182       0.235686244618       0.197222222222                    0
                  4266           2020-02-17                    1                    3                  424                  325        393.087272727        20.8175542581                  565                  484        505.814545455        14.8058393662                  4.5        4.74040632054        3.65579302587        4.21096558675       0.248725045899       0.201351351351                    0
                  4267           2020-02-17                    1                    3                  503                  332        407.432330827        25.0633244585                  553                  448        497.763157895        15.7473089893                  4.5        5.38543897216        3.73033707865        4.37076981699        0.28011738309        0.19012345679                    0
                  4268           2020-02-17                    1                    3                  483                  375        437.486486486         23.390020535                  521                  457        481.589189189        13.5317001945                  4.5        4.86404833837        4.15742793792        4.60291005573       0.170315215882       0.178888888889                    0
                  4269           2020-02-17                    1                    3                  475                  302        400.002295333        31.9728149771                  587                  462        506.103289977        21.5809193377                  4.5        5.33783783784        3.56552538371        4.46419853033       0.352154740931             0.234375                    0
                  4270           2020-02-17                    1                    3                  351                  297               344.25        6.26615456101                  599                  541        548.354385965        5.32248030084                  4.5         4.4262295082        3.92722710163        4.30849253475       0.071539567722       0.182352941176                    0
                  4273           2020-02-18                    1                    3                  490                  377        433.010582011        26.2931491841                  521                  454        485.005291005        15.1463748276                  4.5        5.18518518519        4.14741474147        4.64430622795       0.252392734073       0.181927710843                    0
                  4274           2020-02-18                    1                    3                  564                  384        492.125611746        32.2950641913                  517                  426        455.386623165        15.4592750427                  4.5        5.69261880688        4.08076514346        4.96471754931       0.340812546926       0.182352941176                    0
                  4275           2020-02-18                    1                    3                  474                  371        432.198391421        19.0479372012                  527                  464        487.168900804        11.5382984199                  4.5        5.30405405405        4.35957696827        4.85216876925       0.168523508493       0.208450704225                    0
                  4276           2020-02-18                    1                    3                  424                  337        399.089965398        13.9137308522                  558                  492        508.830449827        9.53215139296                  4.5        5.34678436318        4.39947780679         4.9946994741        0.17110361002       0.212857142857                    0
                  4279           2020-02-18                    1                    1                  568                  427        516.145945946        22.4346570046                  483                  417         438.12972973         10.524331265                  4.5        5.76649746193        4.44791666667        5.18487661408        0.20740921717       0.334782608696                    0
                  4281           2020-02-19                    1                    1                  492                  331        448.844309234        33.7340607634                  559                  452        475.515390122        18.8869014371                  4.5        4.99481865285        3.38445807771        4.49045274448        0.33152871074       0.188607594937                    0
                  4282           2020-02-19                    1                    1                  550                  356        498.563650307        35.2180512335                  539                  430         452.39493865        17.3561044271                  4.5        5.51102204409        3.69678089304         4.9883648768       0.346008596405       0.221212121212                    0
                  4283           2020-02-19                    1                    1                  541                  348        497.938385705        31.0014592165                  549                  433        453.168823167        15.3896553755                  4.5        5.44904137235        3.72192513369        4.98167617105       0.300056754871       0.217647058824                    0
                  4284           2020-02-19                    4                    1                  514                  376        474.884204276        24.6692180777                  524                  443        463.551068884        12.5851637589                  4.5         5.1814516129        3.87628865979        4.75663105676       0.245003000574       0.237096774194                    0
                  4285           2020-02-20                    1                    1                  487                  346        461.249036237        20.2955905458                  549                  457         469.65304549        11.2470289222                  4.5        4.92914979757        3.55967078189        4.61012900641       0.196845512832       0.238709677419                    0
