
*                 FILE                 DATE               TARGET                 FOIL     DEE1_VOLTAGE_MAX     DEE1_VOLTAGE_MIN     DEE1_VOLTAGE_AVE     DEE1_VOLTAGE_STD     DEE2_VOLTAGE_MAX     DEE2_VOLTAGE_MIN     DEE2_VOLTAGE_AVE     DEE2_VOLTAGE_STD    FORWARD_POWER_MAX    FORWARD_POWER_MIN    FORWARD_POWER_AVE    FORWARD_POWER_STD  REFLECTED_POWER_MAX  REFLECTED_POWER_MIN  REFLECTED_POWER_AVE  REFLECTED_POWER_STD       PHASE_LOAD_MAX       PHASE_LOAD_MIN       PHASE_LOAD_AVE       PHASE_LOAD_STD            FLAP1_MAX            FLAP1_MIN            FLAP1_AVE            FLAP1_STD            FLAP2_MAX            FLAP2_MIN            FLAP2_AVE            FLAP2_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4179           2020-01-21                    4                    4                 37.6                   37        37.3215957447      0.0966363717794                 40.8                   40        40.3202836879       0.119068150593                 11.2                 10.3        10.7292907801       0.128245915092                  0.4                  0.1       0.192127659574      0.0310868951578                 37.6                 32.2                   35        1.13869403857                 45.1                   38        42.1973758865        1.26412032901                 37.6                 32.2                   35        1.13869403857
                  4181           2020-01-21                    4                    4                 37.6                 37.1        37.3189542484       0.122901540904                 40.8                 39.9        40.3222222222       0.150564177454                 11.2                 10.4        10.7274509804       0.139013938323                  0.3                  0.1       0.196209150327      0.0250230360782                 36.1                 32.9        34.4636601307        0.51088766993                 44.3                 40.4        42.3652287582       0.702874662231                 36.1                 32.9        34.4636601307        0.51088766993
                  4183           2020-01-22                    4                    4                 37.6                   37        37.3200288184       0.102255538407                 40.7                 39.8        40.3206412104       0.126734733186                 11.2                 10.4        10.7587175793       0.125077835395                  0.3                  0.1       0.198631123919      0.0198589974717                 37.3                 31.9        34.6420028818        1.16687013074                 45.2                 37.6        41.8575648415        1.36294904272                 37.3                 31.9        34.6420028818        1.16687013074
                  4184           2020-01-22                    4                    4                 37.7                 37.1        37.3206728972       0.109145857628                 40.8                 39.8        40.3198504673       0.133389935288                 11.2                 10.4        10.7564859813        0.13183814521                  0.3                  0.1       0.199925233645      0.0197174911366                 38.6                 34.2        36.5222056075       0.990221534152                 46.5                   41        43.6292336449       0.894150027967                 38.6                 34.2        36.5222056075       0.990221534152
                  4185           2020-01-22                    4                    4                 37.7                   37        37.3206690562        0.10439806029                 40.7                 39.9        40.3188172043       0.130519726795                 11.2                 10.3        10.7391875747       0.131640905564                  0.3                  0.1                  0.2      0.0213073318247                 37.7                 33.8        36.0231182796       0.779691190662                 45.3                 41.2          43.45609319       0.729921539401                 37.7                 33.8        36.0231182796       0.779691190662
                  4187           2020-01-23                    4                    4                 37.7                   37        37.3156097561       0.107732268638                 40.7                 39.9         40.315272045       0.130619002217                 11.3                 10.4        10.7570356473       0.124050739503                  0.3                  0.1       0.198011257036      0.0183713994039                 36.3                   31        34.0700938086        1.18995269689                 43.9                 37.8        41.3692307692        1.31170183244                 36.3                   31        34.0700938086        1.18995269689
                  4188           2020-01-23                    4                    4                 37.7                   37         37.318213177       0.115984238823                 40.7                 39.8        40.3156605726       0.137950566311                 11.2                 10.4        10.7351845464       0.121607004862                  0.3                  0.1       0.197033459814      0.0201279775255                 37.6                 33.3        35.6880303553        1.00427074469                 45.3                 40.5        43.1215591583       0.808454496465                 37.6                 33.3        35.6880303553        1.00427074469
                  4189           2020-01-23                    4                    4                 37.7                   37        37.3191297209       0.108521476782                 40.8                   40        40.3204433498       0.129483502798                 11.2                 10.4        10.7507389163       0.117912657885                  0.3                  0.1       0.198891625616      0.0135462382329                 37.8                 34.9        36.5425287356       0.657442556816                 45.3                 41.7        43.8264367816       0.503875567523                 37.8                 34.9        36.5425287356       0.657442556816
                  4191           2020-01-24                    4                    5                 37.6                 37.1        37.3223344557       0.105509706499                 40.7                 39.9        40.3249158249       0.124061167318                 11.2                 10.4        10.7034044145       0.125914566473                  0.3                  0.1       0.185858585859      0.0363168423198                 36.2                 30.9        33.9964085297        1.22593032874                 44.3                 37.5         41.317882529        1.33227865345                 36.2                 30.9        33.9964085297        1.22593032874
                  4192           2020-01-24                    4                    5                 37.7                   37        37.3200759013       0.113538873664                 40.8                 39.9        40.3169639469       0.138289512301                 11.2                 10.4        10.7080834915       0.135805729133                  0.3                  0.1       0.192713472486      0.0318922442835                 38.5                 33.9        36.4245920304       0.863171513238                 46.1                 40.4         43.449487666       0.929501061475                 38.5                 33.9        36.4245920304       0.863171513238
